"SA2,""latitude.y"",""longitude.y"""
"Baulkham Hills - East,-33.7619094,150.9928894"
"Baulkham Hills (West) - Bella Vista,-33.74465925,151.00177785"
"Glenhaven,-33.7027383,151.0008049"
"West Pennant Hills,-33.7478359,151.0350621"
"Dural - Kenthurst - Wisemans Ferry,-33.5721950666667,150.996564633333"
"Galston - Laughtondale,-33.53458585,151.04548585"
"Bilpin - Colo - St Albans,-34.8887113,148.717337033333"
"Kurrajong Heights - Ebenezer,-30.6004798,151.6226019"
"Pitt Town - McGraths Hill,-33.6144927755342,150.837446421456"
"Blacktown (East) - Kings Park,-32.8608982,133.3826438"
"Blacktown (North) - Marayong,-33.7537581,150.9023266"
"Doonside - Woodcroft,-33.7623581,150.883398789822"
"Lalor Park - Kings Langley,-33.7567577,150.93987045"
"Glenwood,-33.7331483,150.928232"
"Bidwill - Hebersham - Emerton,-33.7417413,150.817717566667"
"Glendenning - Dean Park,-33.74058145,150.85184405"
"Hassall Grove - Plumpton,-33.7441667,150.8386111"
"Lethbridge Park - Tregear,-33.7436499,150.7986034"
"Mount Druitt - Whalan,-33.76361115,150.815"
"Prospect Reservoir,-33.82122055,150.896227967561"
"Rooty Hill - Minchinbury,-33.7826413,150.8517234"
"Banksmeadow,-33.9542459,151.2157073"
"Botany,-33.947829,151.1990644"
"Pagewood - Hillsdale - Daceyville,-33.9403152333333,151.2241775"
"Port Botany Industrial,-25,135"
"Sydney Airport,-33.9498935,151.18196819346"
"Petersham - Stanmore,-33.8962721,151.1592421"
"Sydenham - Tempe - St Peters,-33.922101,151.164548554712"
"Darlinghurst,-33.8783381,151.219225"
"Erskineville - Alexandria,-33.9025634,151.18919421524"
"Glebe - Forest Lodge,-33.88010145,151.177294963411"
"Potts Point - Woolloomooloo,-33.86947775,151.22260925"
"Surry Hills,-33.8845123,151.2100301"
"Bondi - Tamarama - Bronte,-33.8986712,151.266062"
"Bondi Beach - North Bondi,-33.8923133,151.275313737102"
"Bondi Junction - Waverly,-32.9082517,151.1506614"
"Dover Heights,-33.8739831,151.2810366"
"Paddington - Moore Park,-33.88999525,151.2246105"
"Rose Bay - Vaucluse - Watsons Bay,-33.8577648,151.274715466667"
"Woollahra,-33.86183355,151.273331817587"
"Bass Hill - Georges Hall,-33.90575275,150.9899309"
"Chullora,-33.8925,151.0477778"
"Condell Park,-33.9227893,151.0113353"
"Padstow,-33.9487767,151.030116"
"Revesby,-33.9436876,151.0137191"
"Yagoona - Birrong,-33.90003215,151.0241689"
"Belmore - Belfield,-33.91004975,151.085230458682"
"Punchbowl,-33.928717,151.0522591"
"Roselands,-33.9339943,151.0765121"
"Narwee - Beverly Hills,-33.94765,151.0755893"
"Oatley - Hurstville Grove,-33.9768744585119,151.097600324606"
"Peakhurst - Lugarno,-33.9720201,151.052043"
"Riverwood,-33.9472222,151.0530556"
"South Hurstville - Blakehurst,-33.9811753,151.1084088"
"Kingsgrove (South) - Bardwell Park,-34.0712171,145.92418075"
"Kogarah,-33.968226,151.1354509"
"Kogarah Bay - Carlton - Allawah,-35.2505984666667,149.068971766667"
"Monterey - Brighton-le-Sands - Kyeemagh,-33.9597759666667,151.1537939"
"Rockdale - Banksia,-33.947360430312,151.14010316539"
"Sans Souci - Ramsgate,-33.9844165,151.1376131"
"Concord - Mortlake - Cabarita,-33.9669394333333,148.099865333333"
"Drummoyne - Rodd Point,-33.85895185,151.148636"
"Five Dock - Abbotsford,-35.8367766,148.06393865"
"Balmain,-33.8583992,151.1807353"
"Lilyfield - Rozelle,-33.8691339060498,151.171791532656"
"Canterbury (North) - Ashbury,-35.8682508,148.15395285"
"Croydon Park - Enfield,-34.8802501,138.5674908"
"Dulwich Hill - Lewisham,-33.89998585,151.142627"
"Haberfield - Summer Hill,-33.88641385,151.1380167"
"Homebush,-33.860451,151.0806118"
"Chatswood (West) - Lane Cove North,-33.8058268,151.1634349"
"St Leonards - Naremburn,-33.8193484,151.2008391"
"Asquith - Mount Colah,-33.6826776,151.115928278278"
"Berowra - Brooklyn - Cowan,-33.5865414666667,151.182567233333"
"Normanhurst - Thornleigh - Westleigh,NA,NA"
"Gordon - Killara,-33.76804435,151.17806865"
"Lindfield - Roseville,-33.7801215,151.17335465"
"Pymble,-33.7450185,151.1424708"
"St Ives,-33.7292063,151.159396"
"Turramurra,-33.7328828,151.128541"
"Wahroonga (East) - Warrawee,-33.71958015,151.13019815"
"Cremorne - Cammeray,-33.82414095,151.2197097"
"Crows Nest - Waverton,-33.8343617985573,151.201143251015"
"Neutral Bay - Kirribilli,-33.8409773,151.21700935"
"North Sydney - Lavender Bay,-33.84177525,151.208882989102"
"Balgowlah - Clontarf - Seaforth,-33.7972111333333,151.2526351"
"Manly - Fairlight,-33.79540935,151.2816049"
"Avalon - Palm Beach,-33.6185256,151.32609175"
"Bayview - Elanora Heights,-33.678573,151.2808661"
"Newport - Bilgola,-33.642654,151.310924677917"
"Beacon Hill - Narraweena,-33.7448636,151.2648919"
"Cromer,-33.7385227,151.2762995"
"Forestville - Killarney Heights,-33.76471735,151.20939003259"
"Freshwater - Brookvale,-33.76802455,151.279794985271"
"Manly Vale - Allambie Heights,-33.7815141004482,151.255624857047"
"Terrey Hills - Duffys Forest,-33.66920465,151.197357509438"
"Camden - Ellis Lane,-34.0255215,150.69657165"
"Bradbury - Wedderburn,-35.2504427,147.2160601"
"Campbelltown - Woodbine,-34.0476695055312,150.828486180879"
"Claymore - Eagle Vale - Raby,-34.0360185,150.812962966667"
"Holsworthy Military Area,-34.07433315,150.925949854056"
"Leumeah - Minto Heights,-34.046126,150.8543314"
"Minto - St Andrews,-34.02625,150.84083335"
"Rosemeadow - Glen Alpine,-34.09833335,150.7886111"
"Bargo,-34.293747,150.5817842"
"Douglas Park - Appin,-34.19648355,150.7441776"
"Picton - Tahmoor - Buxton,-30.9204764666667,139.609971066667"
"The Oaks - Oakdale,-34.0780834,150.5134573"
"Cambridge Park,-33.7501365,150.7269025"
"Emu Plains - Leonay,-33.75666955,150.65944145"
"Glenmore Park - Regentville,-33.7758436,150.6629574"
"Jamisontown - South Penrith,-33.7679769,150.674815"
"Kingswood - Werrington,-33.7579649,150.7392893"
"Mulgoa - Luddenham - Orchard Hills,-33.8322686666667,150.686098066667"
"Penrith,-33.7511954,150.6941711"
"Warragamba - Silverdale,-33.874137,150.618104"
"Richmond - Clarendon,-33.596128,150.788088"
"Windsor - Bligh Park,-33.64065345,150.813477190353"
"Yarramundi - Londonderry,-32.42848285,135.9870408"
"Erskine Park,-33.8086111,150.8013889"
"St Clair,-33.7983333,150.7844444"
"Rookwood Cemetery,-33.87562665,151.056092194345"
"Ermington - Rydalmere,-33.8109122,151.05061305"
"Oatlands - Dundas Valley,-38.0477713,149.21438615"
"Chester Hill - Sefton,-33.8840807,151.006330408084"
"Fairfield - East,-33.8747423,150.9721298"
"Granville - Clyde,-33.8533341,151.0117222"
"Guildford - South Granville,-33.8572590248029,151.006078046539"
"Guildford West - Merrylands West,-33.84212925,150.9669341"
"North Parramatta,-33.7952747,151.0116649"
"North Rocks,-33.7713052,151.020996"
"Northmead,-33.7844423,150.9983289"
"Toongabbie - Constitution Hill,-33.79723375,150.980161030812"
"Winston Hills,-33.7761098,150.9816606"
"Pennant Hills - Cheltenham,-35.8527372,148.0631795"
"Gladesville - Huntleys Point,-33.84215535,151.147895379963"
"Hunters Hill - Woolwich,-33.8387628,151.1599754"
"Macquarie Park - Marsfield,-33.77964585,151.1144381"
"North Ryde - East Ryde,NA,NA"
"West Ryde - Meadowbank,-33.81640645,151.085110380736"
"Ashcroft - Busby - Miller,-33.9168518666667,150.8887037"
"Austral - Greendale,-33.9216342,150.7380279"
"Bonnyrigg Heights - Bonnyrigg,-33.8912101,150.8695795"
"Bossley Park - Abbotsbury,-33.8657534,150.87557365"
"Cabramatta - Lansvale,-33.9026962965427,150.947610266589"
"Cabramatta West - Mount Pritchard,-33.8966214,150.9121164"
"Canley Vale - Canley Heights,-33.8829447250363,150.918964606849"
"Edensor Park,-33.8802849,150.8762602"
"Fairfield,-33.86744035,150.889322169804"
"Fairfield - West,-33.8689308,150.9243383"
"Greenfield Park - Prairiewood,-33.871534,150.890521"
"Horsley Park - Kemps Creek,-33.8600529,150.81609335"
"Smithfield - Wetherill Park,-33.850816,150.909686"
"St Johns Park - Wakeley,-33.8776389,150.9048611"
"Wetherill Park Industrial,-25,135"
